vID,sID,week,cageID,block,temp,invasion,rep,PAL-M,PAL-F,RUB-M,RUB-F,BIR-M,PST-M,PAN-M,unID-F,Asobara,Diapriid
811,CSUS,W26,C-01,B1,WARM,INVAS,A,25,46,16,15,6,22,16,36,322,21
812,CSUS,W26,C-02,B1,CTRL,CLOSED,A,22,44,15,11,4,82,0,149,504,11
813,CSUS,W26,C-03,B1,HW,CLOSED,A,38,56,10,5,7,2,0,7,343,4
814,CSUS,W26,C-04,B1,WARM,INVAS,B,17,16,16,16,5,35,12,35,365,17
815,CSUS,W26,C-05,B1,WARM,INVAS,C,18,27,13,12,7,29,16,40,415,1
816,CSUS,W26,C-06,B1,HW,CLOSED,B,50,60,12,9,9,8,0,11,337,7
817,CSUS,W26,C-07,B1,HW,INVAS,A,103,149,15,11,8,2,168,208,18,7
818,CSUS,W26,C-08,B1,CTRL,CLOSED,B,16,27,7,7,8,55,0,73,623,17
819,CSUS,W26,C-09,B1,CTRL,CLOSED,C,23,42,9,7,6,79,0,126,418,18
820,CSUS,W26,C-10,B1,WARM,CLOSED,A,15,26,12,8,4,50,0,68,379,8
821,CSUS,W26,C-11,B1,HW,INVAS,B,99,170,16,13,7,5,100,118,59,9
822,CSUS,W26,C-12,B1,HW,CLOSED,C,48,66,13,12,7,7,0,23,360,7
823,CSUS,W26,C-13,B1,WARM,CLOSED,B,16,37,17,9,7,35,0,57,370,5
824,CSUS,W26,C-14,B1,CTRL,INVAS,A,21,43,17,17,5,45,17,81,258,13
825,CSUS,W26,C-15,B1,HW,INVAS,C,109,155,12,9,3,3,85,109,62,1
826,CSUS,W26,C-16,B1,CTRL,INVAS,B,15,34,11,14,3,33,12,64,486,9
827,CSUS,W26,C-17,B1,WARM,CLOSED,C,12,11,14,14,10,26,0,35,420,3
828,CSUS,W26,C-18,B1,CTRL,INVAS,C,72,88,11,10,5,39,18,45,55,16
829,CSUS,W26,C-19,B2,CTRL,INVAS,D,160,197,14,19,8,52,17,64,187,30
830,CSUS,W26,C-20,B2,HW,CLOSED,D,59,119,14,27,8,7,0,15,220,6
831,CSUS,W26,C-21,B2,HW,INVAS,D,61,105,12,12,3,8,65,75,101,12
832,CSUS,W26,C-22,B2,WARM,CLOSED,D,37,33,19,24,3,12,0,17,267,4
833,CSUS,W26,C-23,B2,CTRL,CLOSED,D,55,62,17,19,13,33,0,40,360,22
834,CSUS,W26,C-24,B2,CTRL,INVAS,E,82,103,13,18,9,35,15,61,199,30
835,CSUS,W26,C-25,B2,WARM,INVAS,D,28,35,10,13,3,13,14,37,357,9
836,CSUS,W26,C-26,B2,WARM,CLOSED,E,37,49,20,25,4,18,0,14,244,4
837,CSUS,W26,C-27,B2,CTRL,CLOSED,E,50,81,14,12,5,42,0,34,443,17
838,CSUS,W26,C-28,B2,WARM,INVAS,E,60,122,18,14,3,14,16,30,227,39
839,CSUS,W26,C-29,B2,HW,CLOSED,E,64,81,15,17,4,6,0,16,320,4
840,CSUS,W26,C-30,B2,HW,INVAS,E,94,136,15,9,4,3,58,67,203,9
