vID,sID,week,dateIN-OUT,temp,invasion,block,cageID,rep,PAL-M,PAL-F,RUB-M,RUB-F,BIR-M,PST-M,PAN-M,unID-F,Asobara,Diapriid,all-F
1,S0.1,INIT1,0712-0722,CTRL,CLOSED,B1,C-01,A,10,NA,4,NA,1,2,NA,NA,45,1,22
2,S0.1,INIT1,0712-0722,CTRL,CLOSED,B1,C-01,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,S0.1,INIT1,0712-0722,CTRL,CLOSED,B1,C-01,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,S0.1,INIT1,0712-0722,CTRL,CLOSED,B1,C-02,A,4,NA,8,NA,0,1,NA,NA,13,0,19
5,S0.1,INIT1,0712-0722,CTRL,CLOSED,B1,C-02,B,10,NA,9,NA,0,2,NA,NA,5,0,18
6,S0.1,INIT1,0712-0722,CTRL,CLOSED,B1,C-02,C,3,NA,16,NA,0,0,NA,NA,17,0,25
7,S0.1,INIT1,0712-0722,CTRL,CLOSED,B1,C-03,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,S0.1,INIT1,0712-0722,CTRL,CLOSED,B1,C-03,B,10,NA,3,NA,0,7,NA,NA,28,0,22
9,S0.1,INIT1,0712-0722,CTRL,CLOSED,B1,C-03,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,S0.1,INIT1,0712-0722,CTRL,CLOSED,B1,C-04,A,4,NA,14,NA,0,1,NA,NA,29,0,19
11,S0.1,INIT1,0712-0722,CTRL,CLOSED,B1,C-04,B,4,NA,12,NA,0,3,NA,NA,44,0,17
12,S0.1,INIT1,0712-0722,CTRL,CLOSED,B1,C-04,C,6,NA,9,NA,0,0,NA,NA,37,3,18
13,S0.1,INIT1,0712-0722,CTRL,CLOSED,B1,C-05,A,14,NA,12,NA,0,1,NA,NA,9,0,22
14,S0.1,INIT1,0712-0722,CTRL,CLOSED,B1,C-05,B,22,NA,7,NA,1,4,NA,NA,18,0,32
15,S0.1,INIT1,0712-0722,CTRL,CLOSED,B1,C-05,C,2,NA,12,NA,1,3,NA,NA,17,0,27
16,S0.1,INIT1,0712-0722,CTRL,CLOSED,B1,C-06,A,9,NA,6,NA,3,4,NA,NA,40,1,20
17,S0.1,INIT1,0712-0722,CTRL,CLOSED,B1,C-06,B,8,NA,8,NA,1,3,NA,NA,39,0,23
18,S0.1,INIT1,0712-0722,CTRL,CLOSED,B1,C-06,C,4,NA,13,NA,0,1,NA,NA,19,0,17
19,S0.1,INIT1,0712-0722,CTRL,CLOSED,B1,C-07,A,6,NA,9,NA,0,2,NA,NA,20,0,19
20,S0.1,INIT1,0712-0722,CTRL,CLOSED,B1,C-07,B,11,NA,0,NA,0,2,NA,NA,35,2,9
21,S0.1,INIT1,0712-0722,CTRL,CLOSED,B1,C-07,C,24,NA,5,NA,0,2,NA,NA,11,0,24
22,S0.1,INIT1,0712-0722,CTRL,CLOSED,B1,C-08,A,3,NA,7,NA,0,4,NA,NA,29,0,27
23,S0.1,INIT1,0712-0722,CTRL,CLOSED,B1,C-08,B,21,NA,6,NA,0,2,NA,NA,35,0,21
24,S0.1,INIT1,0712-0722,CTRL,CLOSED,B1,C-08,C,15,NA,5,NA,1,1,NA,NA,20,0,25
25,S0.1,INIT1,0712-0722,CTRL,CLOSED,B1,C-09,A,8,NA,9,NA,0,1,NA,NA,28,0,19
26,S0.1,INIT1,0712-0722,CTRL,CLOSED,B1,C-09,B,6,NA,9,NA,1,1,NA,NA,23,1,22
27,S0.1,INIT1,0712-0722,CTRL,CLOSED,B1,C-09,C,5,NA,9,NA,0,2,NA,NA,21,0,24
28,S0.1,INIT1,0712-0722,CTRL,CLOSED,B1,C-10,A,8,NA,0,NA,0,1,NA,NA,49,1,8
29,S0.1,INIT1,0712-0722,CTRL,CLOSED,B1,C-10,B,1,NA,14,NA,0,1,NA,NA,12,0,14
30,S0.1,INIT1,0712-0722,CTRL,CLOSED,B1,C-10,C,11,NA,0,NA,1,2,NA,NA,33,0,9
31,S0.1,INIT1,0712-0722,CTRL,CLOSED,B1,C-11,A,0,NA,9,NA,0,0,NA,NA,18,0,16
32,S0.1,INIT1,0712-0722,CTRL,CLOSED,B1,C-11,B,4,NA,5,NA,2,6,NA,NA,29,0,12
33,S0.1,INIT1,0712-0722,CTRL,CLOSED,B1,C-11,C,0,NA,11,NA,0,1,NA,NA,14,0,16
34,S0.1,INIT1,0712-0722,CTRL,CLOSED,B1,C-12,A,10,NA,12,NA,0,4,NA,NA,19,0,43
