ind,block,timing,cageID,temp,invasion,rep,PAL-M,PAL-F,RUB-M,RUB-F,BIR-M,BIR-F,PST-M,PST-F,PAN-M,PAN-F
1,B1,preH,C-03,HW,CLOSED,R1,10,6,0,0,0,0,0,0,0,0
2,B1,preH,C-03,HW,CLOSED,R2,0,0,0,0,0,0,11,6,0,0
3,B1,preH,C-03,HW,CLOSED,R3,10,10,0,0,0,0,1,1,0,0
4,B1,preH,C-06,HW,CLOSED,R1,16,11,0,0,0,0,5,6,0,0
5,B1,preH,C-06,HW,CLOSED,R2,24,25,1,5,0,0,0,0,0,0
6,B1,preH,C-06,HW,CLOSED,R3,3,7,0,0,0,0,0,0,0,0
7,B1,preH,C-12,HW,CLOSED,R1,18,27,0,0,0,0,2,5,0,0
8,B1,preH,C-12,HW,CLOSED,R2,5,8,0,0,0,0,5,6,0,0
9,B1,preH,C-12,HW,CLOSED,R3,31,22,0,0,0,0,0,5,0,0
10,B1,preH,C-07,HW,INVAS,R1,28,16,0,0,0,0,2,3,6,4
11,B1,preH,C-07,HW,INVAS,R2,21,25,0,0,0,0,3,7,13,12
12,B1,preH,C-07,HW,INVAS,R3,21,13,0,0,0,0,0,3,15,7
13,B1,preH,C-11,HW,INVAS,R1,25,32,0,0,0,0,0,0,3,3
14,B1,preH,C-11,HW,INVAS,R2,24,13,0,0,0,0,0,0,7,7
15,B1,preH,C-11,HW,INVAS,R3,20,18,0,0,0,0,1,0,10,8
16,B1,preH,C-15,HW,INVAS,R1,18,16,0,0,0,0,0,0,3,1
17,B1,preH,C-15,HW,INVAS,R2,6,5,0,0,0,0,0,0,8,6
18,B1,preH,C-15,HW,INVAS,R3,25,15,0,0,0,0,0,2,8,6
19,B1,heat5d,C-03,HW,CLOSED,R1,0,0,0,0,0,0,0,0,0,0
20,B1,heat5d,C-03,HW,CLOSED,R2,0,0,0,0,0,0,0,0,0,0
21,B1,heat5d,C-03,HW,CLOSED,R3,0,0,0,0,0,0,0,0,0,0
22,B1,heat5d,C-06,HW,CLOSED,R1,1,0,0,0,0,0,0,0,0,0
23,B1,heat5d,C-06,HW,CLOSED,R2,0,0,0,0,0,0,0,0,0,0
24,B1,heat5d,C-06,HW,CLOSED,R3,0,0,0,0,0,0,0,0,0,0
25,B1,heat5d,C-12,HW,CLOSED,R1,1,2,0,0,0,0,0,0,0,0
26,B1,heat5d,C-12,HW,CLOSED,R2,0,1,0,0,0,0,0,0,0,0
27,B1,heat5d,C-12,HW,CLOSED,R3,1,0,0,0,0,0,0,0,0,0
28,B1,heat5d,C-07,HW,INVAS,R1,0,0,0,0,0,0,0,0,10,12
29,B1,heat5d,C-07,HW,INVAS,R2,0,0,0,0,0,0,0,0,18,20
30,B1,heat5d,C-07,HW,INVAS,R3,0,0,0,0,0,0,0,0,15,14
31,B1,heat5d,C-11,HW,INVAS,R1,0,0,0,0,0,0,0,0,18,28
32,B1,heat5d,C-11,HW,INVAS,R2,3,2,0,0,0,0,0,0,14,21
33,B1,heat5d,C-11,HW,INVAS,R3,0,0,0,0,3,4,0,0,7,8
34,B1,heat5d,C-15,HW,INVAS,R1,0,0,0,0,0,0,0,0,2,1
35,B1,heat5d,C-15,HW,INVAS,R2,0,0,0,0,0,0,0,0,7,6
36,B1,heat5d,C-15,HW,INVAS,R3,0,0,0,0,0,0,0,0,7,13
37,B1,postH5d,C-03,HW,CLOSED,R1,25,34,0,0,0,0,0,0,0,0
38,B1,postH5d,C-03,HW,CLOSED,R2,24,31,0,0,0,0,0,0,0,0
39,B1,postH5d,C-03,HW,CLOSED,R3,38,40,0,0,0,0,0,0,0,0
40,B1,postH5d,C-06,HW,CLOSED,R1,29,29,0,0,0,0,0,0,0,0
41,B1,postH5d,C-06,HW,CLOSED,R2,19,16,0,0,0,0,0,0,0,0
42,B1,postH5d,C-06,HW,CLOSED,R3,32,53,0,0,0,0,0,0,0,0
43,B1,postH5d,C-12,HW,CLOSED,R1,22,45,0,0,0,0,0,0,0,0
44,B1,postH5d,C-12,HW,CLOSED,R2,50,59,0,0,0,0,2,0,0,0
45,B1,postH5d,C-12,HW,CLOSED,R3,31,59,0,0,0,0,0,0,0,0
46,B1,postH5d,C-07,HW,INVAS,R1,32,53,0,0,0,0,0,0,9,18
47,B1,postH5d,C-07,HW,INVAS,R2,19,9,0,0,0,0,0,0,0,0
48,B1,postH5d,C-07,HW,INVAS,R3,17,5,0,0,0,7,0,0,1,1
49,B1,postH5d,C-11,HW,INVAS,R1,33,28,0,0,0,0,0,0,0,3
50,B1,postH5d,C-11,HW,INVAS,R2,26,34,0,0,0,0,0,0,3,1
51,B1,postH5d,C-11,HW,INVAS,R3,28,24,0,0,0,0,0,0,17,6
52,B1,postH5d,C-15,HW,INVAS,R1,12,18,0,0,0,0,0,0,2,3
53,B1,postH5d,C-15,HW,INVAS,R2,22,24,0,0,0,0,0,0,1,1
54,B1,postH5d,C-15,HW,INVAS,R3,25,46,0,0,0,0,0,0,2,1
55,B2,preH,C-20,HW,CLOSED,R1,14,13,0,0,4,2,0,0,0,0
56,B2,preH,C-20,HW,CLOSED,R2,10,14,0,0,0,0,1,1,0,0
57,B2,preH,C-20,HW,CLOSED,R3,0,0,0,0,4,1,0,0,0,0
58,B2,preH,C-29,HW,CLOSED,R1,17,24,0,0,0,0,4,7,0,0
59,B2,preH,C-29,HW,CLOSED,R2,5,8,0,0,0,0,0,0,0,0
60,B2,preH,C-29,HW,CLOSED,R3,8,8,0,0,0,0,0,0,0,0
61,B2,preH,C-21,HW,INVAS,R1,10,17,0,0,0,0,2,0,0,0
62,B2,preH,C-21,HW,INVAS,R2,12,9,0,0,0,0,0,0,0,0
63,B2,preH,C-21,HW,INVAS,R3,8,1,0,0,1,1,0,0,0,0
64,B2,preH,C-30,HW,INVAS,R1,4,4,0,0,0,0,2,1,0,0
65,B2,preH,C-30,HW,INVAS,R2,26,28,0,0,0,0,0,2,0,0
66,B2,preH,C-30,HW,INVAS,R3,34,29,0,0,0,0,3,4,0,0
67,B2,heat5d,C-20,HW,CLOSED,R1,0,0,0,0,0,0,0,0,0,0
68,B2,heat5d,C-20,HW,CLOSED,R2,0,0,0,0,0,0,0,0,0,0
69,B2,heat5d,C-20,HW,CLOSED,R3,0,0,0,0,0,0,0,0,0,0
70,B2,heat5d,C-29,HW,CLOSED,R1,0,0,0,0,0,0,0,0,0,0
71,B2,heat5d,C-29,HW,CLOSED,R2,1,0,0,0,0,0,0,0,0,0
72,B2,heat5d,C-29,HW,CLOSED,R3,0,0,0,0,0,0,0,0,0,0
73,B2,heat5d,C-21,HW,INVAS,R1,0,0,0,0,0,0,0,0,11,9
74,B2,heat5d,C-21,HW,INVAS,R2,0,0,0,0,0,0,0,0,4,1
75,B2,heat5d,C-21,HW,INVAS,R3,0,0,0,0,0,0,0,0,2,6
76,B2,heat5d,C-30,HW,INVAS,R1,0,0,0,0,0,0,0,0,8,8
77,B2,heat5d,C-30,HW,INVAS,R2,0,0,0,0,0,0,0,0,0,0
78,B2,heat5d,C-30,HW,INVAS,R3,0,0,0,0,0,0,0,0,0,1
79,B2,postH5d,C-20,HW,CLOSED,R1,5,6,0,0,1,0,0,0,0,0
80,B2,postH5d,C-20,HW,CLOSED,R2,0,0,0,0,0,0,0,0,0,0
81,B2,postH5d,C-20,HW,CLOSED,R3,11,14,0,0,0,0,0,0,0,0
82,B2,postH5d,C-29,HW,CLOSED,R1,12,9,0,0,0,0,0,0,0,0
83,B2,postH5d,C-29,HW,CLOSED,R2,3,2,0,0,0,0,0,0,0,0
84,B2,postH5d,C-29,HW,CLOSED,R3,23,35,0,0,0,0,0,0,0,0
85,B2,postH5d,C-21,HW,INVAS,R1,18,21,0,0,1,0,0,0,0,0
86,B2,postH5d,C-21,HW,INVAS,R2,16,13,0,0,0,0,0,0,1,2
87,B2,postH5d,C-21,HW,INVAS,R3,8,12,0,0,0,0,0,0,0,0
88,B2,postH5d,C-30,HW,INVAS,R1,16,15,0,0,0,0,0,0,4,6
89,B2,postH5d,C-30,HW,INVAS,R2,51,39,0,0,0,0,0,0,0,0
90,B2,postH5d,C-30,HW,INVAS,R3,16,23,0,0,0,0,0,0,0,0
